"ID,""Dir"",""Length"",""JERARQUIA"",""DESIGNACIÓN"",""AB_CAP_CARRIL"",""BA_CAP_CARRIL"",""AB_FACTOR_REGULACIÓN"",""BA_FACTOR_REGULACIÓN"",""AB_V0"",""BA_V0"",""AB_CARRILES"",""BA_CARRILES"",""AB_ALPHA"",""BA_ALPHA"",""AB_BETA"",""BA_BETA"",""AB_CAPACIDAD"",""BA_CAPACIDAD"",""AB_T0"",""BA_T0"",""ID"",""Dir"",""Length"",""JERARQUIA"",""DESIGNACIÓN"",""AB_CAP_CARRIL"",""BA_CAP_CARRIL"",""AB_FACTOR_REGULACIÓN"",""BA_FACTOR_REGULACIÓN"",""AB_V0"",""BA_V0"",""AB_CARRILES"",""BA_CARRILES"",""AB_ALPHA"",""BA_ALPHA"",""AB_BETA"",""BA_BETA"",""AB_CAPACIDAD"",""BA_CAPACIDAD"",""AB_T0"",""BA_T0"",""ID1"",""AB_Flow"",""BA_Flow"",""Tot_Flow"",""AB_Time"",""BA_Time"",""Max_Time"",""AB_VOC"",""BA_VOC"",""Max_VOC"",""AB_VKmT"",""BA_VKmT"",""Tot_VKmT"",""AB_VHT"",""BA_VHT"",""Tot_VHT"",""AB_Speed"",""BA_Speed"",""AB_VDF"",""BA_VDF"",""Max_VDF"""
"40,1,0.081577,10,""Alfalfa"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.163154,,40,1,0.081577,10,""Alfalfa"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.163154,,40,255.9810,,255.9810,0.225824,,0.225824,0.365687,,0.365687,20.8822,,20.8822,0.963445,,0.963445,21.6745,,0.225824,,0.225824"
"41,1,0.301816,10,""Calle Sales y Ferrer"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.603633,,41,1,0.301816,10,""Calle Sales y Ferrer"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.603633,,41,0.0000,,0.0000,0.603633,,0.603633,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.603633,,0.603633"
"42,1,0.9072,10,""Alfalfa a Adriano"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,1.8144,,42,1,0.9072,10,""Alfalfa a Adriano"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,1.8144,,42,255.9810,,255.9810,2.51134,,2.51134,0.365687,,0.365687,232.2260,,232.2260,10.7143,,10.7143,21.6745,,2.51134,,2.51134"
"43,1,0.128612,10,""Reyes Catolicos"",1400.00,0.00,0.5,0.5,30,0.00,4,0.00,2.48003,2.48,1.854,1.854,2800.00,0.00,0.257224,,43,1,0.128612,10,""Reyes Catolicos"",1400.00,0.00,0.5,0.5,30,0.00,4,0.00,2.48003,2.48,1.854,1.854,2800.00,0.00,0.257224,,43,140.3790,,140.3790,0.259706,,0.259706,0.0501354,,0.0501354,18.0544,,18.0544,0.607622,,0.607622,29.7133,,0.259706,,0.259706"
"44,1,0.154204,10,""Calle San Pablo"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.308409,,44,1,0.154204,10,""Calle San Pablo"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.308409,,44,0.0000,,0.0000,0.308409,,0.308409,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.308409,,0.308409"
"45,1,0.224467,10,""Plaza de Armas"",1400.00,0.00,0.5,0.5,30,0.00,4,0.00,2.48003,2.48,1.854,1.854,2800.00,0.00,0.448934,,45,1,0.224467,10,""Plaza de Armas"",1400.00,0.00,0.5,0.5,30,0.00,4,0.00,2.48003,2.48,1.854,1.854,2800.00,0.00,0.448934,,45,140.3790,,140.3790,0.453267,,0.453267,0.0501354,,0.0501354,31.5105,,31.5105,1.06049,,1.06049,29.7133,,0.453267,,0.453267"
"46,1,0.205396,10,""Calle Marqués de Paradas"",1600.00,0.00,0.5,0.5,30,0.00,3,0.00,2.48003,2.48,1.854,1.854,2400.00,0.00,0.410792,,46,1,0.205396,10,""Calle Marqués de Paradas"",1600.00,0.00,0.5,0.5,30,0.00,3,0.00,2.48003,2.48,1.854,1.854,2400.00,0.00,0.410792,,46,140.3790,,140.3790,0.416068,,0.416068,0.0584913,,0.0584913,28.8333,,28.8333,0.973454,,0.973454,29.6196,,0.416068,,0.416068"
"47,1,0.407826,10,""Calle San Pablo"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.815652,,47,1,0.407826,10,""Calle San Pablo"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.815652,,47,0.0000,,0.0000,0.815652,,0.815652,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,0.815652,,0.815652"
"48,1,0.410629,10,""Alfalfa a Adriano"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.821259,,48,1,0.410629,10,""Alfalfa a Adriano"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,0.821259,,48,255.9810,,255.9810,1.13672,,1.13672,0.365687,,0.365687,105.1133,,105.1133,4.84963,,4.84963,21.6745,,1.13672,,1.13672"
"49,1,0.530833,10,""Calle Zaragoza + Castelar"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,1.06167,,49,1,0.530833,10,""Calle Zaragoza + Castelar"",1400.00,0.00,0.5,0.5,30,0.00,1,0.00,2.48003,2.48,1.854,1.854,700,0.00,1.06167,,49,0.0000,,0.0000,1.06167,,1.06167,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,30.0000,,1.06167,,1.06167"
